mk.names	chr	pos.ind	pos.cM	N	p.ts	p.vs	bias
PZE-101189687	1	104	124.4	1	13.9	-13.2	1.9
PZE-101194503	1	109	129.1	1	15.3	-5.1	1.3
PZE-101196778	1	110	130.2	3	14.5	-6	1.4
PZE-101201013	1	114	135.2	2	13.6	-6.6	1.5
PZE-101219932	1	123	145.9	1	18	-3.8	1.2
PZE-102024868	2	21	32.4	1	15.6	-12.1	1.8
PZE-102038837	2	30	45.2	1	13.2	-3.6	1.3
PZE-102064002	2	44	60	10	14.1	-4.4	1.3
PZE-102067031	2	45	61.4	6	14.6	3.6	0.8
PZE-102072547	2	46	62.6	1	12.2	3.7	0.7
PZE-102143316	2	68	88.2	1	11.5	-13.9	2.2
PZE-102144430	2	69	89.4	1	15.5	-5.5	1.4
PZE-103096999	3	47	63.8	1	11.4	-4.3	1.4
PZE-103097514	3	48	64.7	2	17	-23.9	2.4
PZE-103102170	3	51	68.4	4	14.3	6.8	0.5
PZE-103107108	3	54	71.7	1	16.4	11.3	0.3
PZE-103106913	3	55	71.9	1	13.4	1.6	0.9
PZE-103113298	3	57	74.3	1	14.6	12.3	0.2
PZE-103110385	3	58	75.4	1	16	21.5	-0.3
PZE-103116584	3	60	78.9	2	10.7	-10.1	1.9
PZE-103119721	3	61	79.2	2	13.6	0.5	1
PZE-103119152	3	62	81.3	3	13.9	14.3	0
PZE-103120875	3	64	83.6	1	9.5	-3.2	1.3
PZE-103123615	3	66	85.3	1	17.4	-20.5	2.2
PZE-104081748	4	46	59.4	1	11.5	8	0.3
PZE-105105422	5	47	67.3	1	16.8	16.9	0
PZE-105109045	5	49	69.6	1	12.6	-8.4	1.7
PZE-105111323	5	51	70.9	2	13.4	-5.5	1.4
PZE-106018792	6	11	12.6	1	14.2	-2.6	1.2
PZE-108008540	8	15	20.9	1	14.8	23.1	-0.6
PZE-108009592	8	17	24.2	3	12.5	-7.3	1.6
PZE-108009888	8	18	25.1	1	12.3	20.1	-0.6
PZE-108018114	8	28	38.7	2	16.4	-6.5	1.4
PZE-108019862	8	29	39.3	1	15.6	8.8	0.4
PZE-108042026	8	33	44.4	1	19.6	8.3	0.6
PZE-108044274	8	35	46.7	2	15.8	11.1	0.3
PZE-108058478	8	41	53.2	5	13.7	3	0.8
PZE-108058577	8	42	53.8	12	17	20.1	-0.2
PZE-108061060	8	43	55.5	35	17.8	17.6	0
PZE-108069441	8	50	62.7	2	16.6	17.3	0
