mk.names	chr	pos.ind	pos.cM	log10pval	F353	UH304	F252	D09	F618	D06
PZE-101000344	1	1	0.7	0.564347983107399	1	-0.466887921382871	-0.15240773264861	0.0776567983260303	0.512082737055195	0.623933445455692
PZE-101000424	1	2	0.8	1.03070751671731	1	1	1	0.0931735157700944	1	0.0931735157700944
PZE-101000754	1	3	1.4	1.05678105603452	1	1	-0.152407732648718	0.0931735157700885	1	0.0931735157700885
PZE-101000169	1	4	1.5	1.05678105603481	1	1	-0.15240773264857	0.0931735157700981	1	0.0931735157700981
PZE-101001103	1	5	1.8	1.05678105603435	1	1	-0.15240773264865	0.0931735157701743	1	0.0931735157701743
PZE-101000659	1	6	1.9	1.05678105603456	1	1	-0.152407732648563	0.0931735157701669	1	0.0931735157701669
PZE-101001110	1	7	2.2	1.05523416200823	1	1	-0.152407732648553	0.0935880648595705	1	0.0935880648595705
PZE-101000431	1	8	2.3	1.05471458833143	1	1	-0.152407732643197	0.0937277540188826	1	0.0937277540188826
PZE-101000442	1	9	2.4	1.05419488358356	1	1	-0.15240773263763	0.0938677052967067	1	0.0938677052967067
PZE-101000530	1	10	2.5	1.05367505721981	1	1	-0.152407732632075	0.0940079167317664	1	0.0940079167317664
PZE-101001114	1	11	2.6	0.816956185751713	1	1	-0.152407732626682	0.094148386354271	0.51208273705553	0.094148386354271
PZE-101001280	1	12	2.7	0.816506425006253	1	1	-0.152407677753706	0.0942901989138942	0.512082737055502	0.0942901989138942
PZE-101000673	1	13	3	0.783580210355792	1	1	-0.150899162201616	0.107568932566266	0.503470554295372	0.107568932566266
PZE-101002282	1	14	3.4	0.735009618818963	1	1	-0.149321567335	0.13046609369693	0.492250901394875	0.13046609369693
PZE-101002081	1	15	3.6	0.546026521439227	1	1	-0.148721646108046	1	0.512366463169619	1
PZE-101001587	1	16	4.2	0.548331974878568	1	1	-0.147690513008178	1	0.512372640317079	1
PZE-101001380	1	17	4.3	0.548462196795354	1	1	-0.147631920004807	1	0.512375998160076	1
PZE-101001108	1	18	4.4	0.527974433236327	1	1	-0.147605932596361	1	0.562967005559385	1
PZE-101003133	1	19	4.5	0.300157921274327	1	1	-0.147612624722452	0.822968294777115	0.643783752677411	0.822968294777115
PZE-101003135	1	20	4.7	0.299269505857488	1	1	-0.147724303050403	0.830558826944914	0.643801943126711	0.830558826944914
PZE-101003026	1	21	4.9	0.33514498460642	1	1	-0.147967384556246	0.605888836214387	0.643801944946588	0.605888836214387
PZE-101003031	1	22	5.6	0.612542457116712	1	1	-0.149856057094842	0.17045086789728	0.643801945111899	0.17045086789728
PZA00393.1	1	23	5.7	0.638332223555414	1	1	-0.150257678821053	0.154666505101117	0.643802180482971	0.154666505101117
PZE-101003115	1	24	5.9	0.614645454928025	1	1	-0.151159530797101	0.167650181753378	0.6438026512311	0.167650181753378
PZE-101002367	1	25	6	0.601716502032555	1	1	-0.151659661737596	0.17492274928355	0.646204482743822	0.17492274928355
PZE-101005818	1	26	7.3	0.427511095292703	1	1	-0.161103012587068	0.319528106005891	0.685437947839218	0.319528106005891
PZE-101004337	1	27	7.7	0.404234443555091	1	1	-0.161107817328647	0.35508698586734	0.685438310511986	0.35508698586734
PZE-101005765	1	28	9.2	0.462023014427833	1	1	-0.161125850840543	1	0.685439671259897	1
PZA01022.1	1	29	9.6	0.462013134091951	1	1	-0.16113066117233	1	0.685440034107789	1
PZE-101009312	1	30	10.6	0.175665601615493	1	1	1	1	0.667320395295794	1
PZE-101007769	1	31	10.9	0.175665794019912	1	1	1	1	0.667320099654541	1
PZE-101009215	1	32	11.2	0.175665986429524	1	1	1	1	0.667319804005441	1
PZE-101010821	1	33	11.8	0.175666371205341	1	1	1	1	0.66731921277433	1
PZE-101009528	1	34	12.3	0.053090666841251	1	-0.884930845198714	-0.884930845198714	-0.884930845198714	-0.884930845198714	-0.884930845198714
PZE-101009163	1	35	12.5	0.0530889605744629	1	-0.884934321943504	-0.884934321943504	-0.884934321943504	-0.884934321943504	-0.884934321943504
PZE-101010560	1	36	13	0.0281226955724699	1	-0.937297167136616	-0.937297167136616	-0.937297167136616	-0.937297167136616	-0.937297167136616
PZE-101010917	1	37	13.5	0.0280621536260825	1	-0.93742783826567	-0.93742783826567	-0.93742783826567	-0.93742783826567	-0.93742783826567
PZE-101012517	1	38	13.6	0.0543405439695402	1	-0.536149479382073	-0.629904735961111	0.687281013243478	0.328246068393037	-0.892000607503237
PZE-101014135	1	39	13.7	0.0543466202386849	1	-0.536149758458365	-0.629904866660277	0.687282187646424	0.328221355301666	-0.89199923956509
PZE-101014266	1	40	13.8	0.0543526974053378	1	-0.536150037536405	-0.629904997361013	0.687283362057015	0.328196642261236	-0.891997871621032
PZE-101011048	1	41	14	0.242945482186271	1	-0.686765264149729	-0.686765264149729	-0.686765264149729	0.328147217124594	-0.686765264149729
PZE-101013802	1	42	15.2	0.484323784325034	1	1	1	1	0.327850775793429	1
PZE-101014003	1	43	15.3	0.484356489766682	1	1	1	1	0.327826087244222	1
PZE-101011906	1	44	15.7	0.484487290991594	1	1	1	1	0.327727367138679	1
PZE-101013772	1	45	16.4	0.221586376791536	1	1	0.6003625909692	1	0.6003625909692	1
PZE-101013713	1	46	16.9	0.225873915354849	1	1	0.594464718933823	1	0.594464718933823	1
PZE-101017581	1	47	18.7	0.0655386005416087	1	1	-0.859926632325856	-0.859926632325856	-0.859926632325856	-0.859926632325856
PZB01915.1	1	48	19.1	0.0664622920417781	1	1	-0.858099616658882	-0.858099616658882	-0.858099616658882	-0.858099616658882
PZE-101017463	1	49	19.5	0.113171873690185	1	1	0.92993392135577	0.92993392135577	0.92993392135577	-0.473651586991438
PZE-101017580	1	50	19.6	0.114113026222584	1	1	0.929946992346831	0.929946992346831	0.929946992346831	-0.471789581422294
