mk.names	chr	pos.ind	pos.cM	N	p.ts	p.vs	bias
PZE-101126806	1	66	79.4	1	5.7	5.9	0
PZE-101127101	1	67	80.5	1	10	1.5	0.8
PZE-101130213	1	68	81.6	41	8.5	5.2	0.4
PZE-101134523	1	69	83.4	7	6.5	6.7	0
PZE-101136791	1	70	84.1	1	9.7	5.1	0.5
PZE-100001759	1	82	99.1	1	5.8	-4.7	1.8
PZE-101189687	1	104	124.4	10	9.4	7.2	0.2
PZE-101187678	1	105	124.9	11	10	5.8	0.4
PZE-101190874	1	106	126.1	16	10.5	5.3	0.5
PZE-101193133	1	107	127.1	4	11.8	7.8	0.3
PZE-101194696	1	108	128.5	5	11.9	9.7	0.2
PZE-101194503	1	109	129.1	17	11.2	6.1	0.5
PZE-101196778	1	110	130.2	6	11.9	4	0.7
PZE-101199598	1	111	131.3	4	7.5	3.5	0.5
PZE-101201013	1	114	135.2	4	12.1	-0.6	1
PZE-101205734	1	115	136.4	1	13.9	3.6	0.7
PZE-101210733	1	119	141.1	3	11	7.3	0.3
PZE-101210657	1	120	142	9	12.5	-0.5	1
PZE-101219932	1	123	145.9	2	5.6	2.6	0.5
PZE-101214818	1	124	146.9	5	4.5	-0.6	1.1
PZE-101219933	1	125	147.4	1	3.9	-6.2	2.6
PZE-101225664	1	128	150.6	1	6.4	3.7	0.4
PZE-102072547	2	46	62.6	16	7.2	-0.6	1.1
PZE-102074320	2	47	63.7	4	7.1	-4.7	1.7
PZE-103012907	3	11	19.1	1	3.6	0	1
PZE-103008756	3	12	20.7	1	4.1	-4	2
PZE-103019891	3	26	40.5	2	4.6	-0.9	1.2
PZE-103028604	3	30	44.3	1	5.5	-0.2	1
PZE-103045372	3	33	47.6	1	4.6	5.1	-0.1
PZE-103042672	3	34	49	3	6	-1	1.2
PZE-103092415	3	43	59.1	1	8.6	-6.5	1.8
PZE-103097514	3	48	64.7	1	5.8	-4.7	1.8
PZE-103102170	3	51	68.4	1	7.9	-3.9	1.5
PZD00007.1	3	52	69.5	1	6.4	3.1	0.5
PZE-103108797	3	56	73.3	1	11.6	-6.1	1.5
PZE-103113298	3	57	74.3	2	8.1	-3.1	1.4
PZE-103110385	3	58	75.4	1	10.4	-1.3	1.1
PZE-103119152	3	62	81.3	4	7.4	-3.9	1.5
PZE-103123615	3	66	85.3	1	5.9	-2.3	1.4
PZE-103181243	3	111	142.4	1	3.7	-1.5	1.4
PZE-103185158	3	116	148.1	10	4.9	-0.8	1.2
PZE-103186661	3	118	150.2	1	5.9	-6.5	2.1
PZE-104089623	4	51	65.5	1	5	-5	2
PZE-104092392	4	52	66.5	1	4.6	-2.8	1.6
PZE-104098992	4	59	74.1	2	3.6	-0.4	1.1
PZE-104132368	4	88	109.2	5	5.2	5	0
PZE-104137686	4	89	111	6	4.6	3.9	0.2
PZE-104139877	4	90	111.9	3	5.3	6.6	-0.2
PZE-104143542	4	92	113.9	3	4.7	4.3	0.1
PZE-104140347	4	93	115.3	16	5.5	6.4	-0.2
PZE-104149854	4	98	121.7	3	6.1	3.7	0.4
PZE-105002659	5	4	5.7	5	6.3	-0.4	1.1
PZE-105003736	5	5	7.3	1	4	-3.9	2
PZE-105061593	5	39	58.1	1	6.2	-2.8	1.5
PZE-105063667	5	41	60.8	1	6.4	1.1	0.8
PZA00626.3	5	42	61.9	1	3.2	-1.4	1.4
PZE-106006537	6	7	7.9	1	3.7	0	1
PZE-106044620	6	18	20.4	1	5	-14.4	3.9
PZE-107072122	7	47	66.1	1	4.6	4.8	0
PZE-107084721	7	57	77	7	7.7	3.9	0.5
PZE-107093975	7	58	77.7	36	8.1	4.6	0.4
PZE-107097289	7	60	79.9	4	8.3	2.2	0.7
PZE-107113484	7	66	88.2	3	9.2	5.5	0.4
PZE-107118905	7	69	92.9	3	6.3	1.3	0.8
PZE-107118752	7	70	94	1	4.1	3.8	0.1
PZE-108003848	8	6	7.9	1	6.4	-0.7	1.1
PZE-108013355	8	23	31.5	20	10	5.5	0.4
PZE-108017647	8	27	37	56	10.4	8.3	0.2
PZE-108020961	8	30	41.1	1	8.2	7.9	0
PZE-108042026	8	33	44.4	2	12.7	9.4	0.3
PZE-108042286	8	34	45.7	11	11.5	11.3	0
PZE-108044274	8	35	46.7	6	11.2	7.7	0.3
PZE-108048156	8	36	47.1	3	11.8	4.3	0.6
PZE-108055224	8	38	50.2	1	8.4	0.2	1
PZE-109077374	9	51	63.3	3	9.6	-2	1.2
PZE-109080508	9	53	65.4	1	10	1.2	0.9
PZE-109091272	9	57	70.4	80	8.9	5.6	0.4
PZE-109093779	9	58	71.6	1	4.9	8.2	-0.7
PZE-109092156	9	59	72.3	1	3.7	4.3	-0.2
PZE-109109217	9	75	95.3	2	4.4	-5	2.1
PZE-110008028	10	11	22.6	2	7.4	12.2	-0.6
PZE-110008044	10	12	23.9	27	8.7	6.8	0.2
PZE-110009032	10	13	24	12	9.4	4.6	0.5
PZE-110009618	10	14	25.7	3	9	8.2	0.1
PZE-110012098	10	19	32.3	1	5.7	0.9	0.8
PZE-110014551	10	21	34.8	4	10.4	-2.1	1.2
